split seed,p,selection,labels
26,"(0.125, 21)","[[46, 40, 33, 27, 25, 20, 3], [49, 47, 43, 26, 24, 13, 1], [59, 58, 53, 47, 17, 16, 15]]","[1, 3, 2]"
27,"(0.5, 84)","[[54, 50, 49, 48, 46, 44, 41, 40, 39, 37, 36, 35, 31, 30, 28, 26, 23, 22, 21, 20, 18, 16, 15, 10, 8, 4, 2, 1], [55, 54, 53, 49, 48, 47, 43, 42, 41, 39, 37, 36, 35, 34, 33, 32, 30, 22, 19, 16, 15, 14, 10, 9, 7, 6, 5, 2], [56, 50, 49, 47, 46, 45, 44, 42, 41, 36, 35, 34, 33, 32, 30, 29, 24, 20, 19, 18, 17, 13, 11, 9, 8, 7, 6, 3]]","[3, 2, 1]"
27,"(0.25, 42)","[[54, 50, 48, 44, 39, 36, 31, 30, 28, 22, 16, 8, 2, 1], [54, 53, 47, 43, 41, 39, 34, 33, 22, 19, 16, 15, 10, 6], [56, 50, 49, 46, 41, 36, 32, 30, 19, 18, 13, 8, 6, 3]]","[3, 2, 1]"
27,"(0.125, 21)","[[54, 50, 48, 44, 39, 8, 1], [54, 53, 47, 34, 19, 16, 15], [50, 49, 36, 32, 30, 18, 3]]","[3, 2, 1]"
28,"(0.5, 84)","[[52, 51, 49, 48, 46, 44, 43, 39, 37, 36, 34, 31, 30, 29, 28, 27, 25, 19, 16, 15, 12, 11, 10, 8, 4, 3, 1], [52, 48, 47, 46, 44, 42, 41, 40, 37, 33, 29, 28, 27, 25, 24, 21, 20, 19, 18, 17, 14, 13, 12, 11, 9, 6, 5, 0], [58, 57, 52, 51, 50, 49, 48, 47, 46, 44, 43, 38, 36, 34, 33, 32, 29, 27, 23, 22, 21, 20, 17, 15, 14, 11, 9, 8, 3]]","[2, 3, 1]"
28,"(0.25, 42)","[[52, 51, 48, 46, 43, 39, 36, 30, 28, 19, 16, 11, 10, 8], [52, 48, 46, 40, 33, 29, 27, 25, 24, 13, 12, 11, 5, 0], [51, 50, 49, 47, 44, 43, 34, 29, 22, 21, 17, 15, 8, 3]]","[2, 3, 1]"
28,"(0.125, 21)","[[52, 46, 39, 19, 16, 11, 10], [52, 48, 46, 25, 11, 5, 0], [51, 50, 49, 43, 34, 15, 3]]","[2, 3, 1]"
29,"(0.5, 84)","[[53, 52, 48, 47, 46, 45, 43, 42, 40, 39, 31, 30, 29, 28, 26, 25, 22, 20, 16, 15, 14, 10, 9, 6, 5, 1, 0], [55, 53, 52, 50, 48, 47, 44, 42, 40, 39, 38, 37, 36, 35, 34, 32, 24, 23, 20, 19, 16, 15, 14, 11, 7, 6, 5, 3], [55, 54, 53, 50, 48, 47, 45, 41, 38, 37, 36, 34, 33, 29, 28, 27, 26, 24, 23, 20, 19, 17, 16, 15, 13, 11, 9, 2, 1]]","[1, 2, 3]"
29,"(0.25, 42)","[[47, 46, 45, 43, 39, 31, 28, 26, 22, 16, 15, 10, 6, 1], [55, 52, 50, 47, 44, 42, 38, 37, 23, 20, 16, 15, 11, 6], [55, 54, 50, 47, 45, 36, 34, 33, 29, 24, 16, 9, 2, 1]]","[1, 2, 3]"
29,"(0.125, 21)","[[47, 46, 45, 31, 26, 10, 1], [55, 50, 44, 38, 37, 20, 16], [55, 50, 36, 34, 16, 9, 1]]","[1, 2, 3]"
30,"(0.5, 84)","[[53, 47, 46, 44, 43, 42, 40, 39, 34, 33, 32, 31, 30, 29, 28, 27, 24, 23, 19, 18, 15, 14, 13, 10, 8, 7, 3], [54, 53, 51, 50, 49, 47, 45, 42, 40, 39, 37, 33, 32, 31, 30, 29, 26, 21, 20, 18, 17, 13, 12, 11, 8, 6, 4, 2], [57, 55, 53, 52, 51, 49, 45, 44, 43, 40, 39, 36, 32, 31, 30, 28, 27, 24, 23, 22, 21, 20, 19, 17, 15, 14, 7, 2, 1]]","[1, 2, 3]"
30,"(0.25, 42)","[[47, 46, 43, 40, 39, 33, 29, 24, 19, 14, 13, 10, 8, 3], [54, 53, 50, 49, 42, 40, 33, 32, 20, 18, 13, 12, 8, 4], [57, 53, 51, 43, 39, 32, 30, 28, 23, 15, 14, 7, 2, 1]]","[1, 2, 3]"
30,"(0.125, 21)","[[47, 46, 39, 33, 29, 14, 3], [54, 49, 42, 40, 18, 13, 12], [57, 53, 51, 28, 14, 7, 1]]","[1, 2, 3]"
31,"(0.5, 84)","[[55, 50, 49, 48, 47, 45, 44, 43, 41, 40, 34, 33, 32, 31, 30, 27, 25, 20, 19, 18, 14, 13, 12, 11, 9, 8, 7, 3], [55, 54, 52, 51, 49, 47, 43, 42, 40, 38, 37, 36, 35, 34, 33, 30, 21, 20, 17, 16, 15, 14, 10, 9, 7, 6, 5, 2], [51, 50, 48, 47, 46, 45, 44, 41, 40, 37, 33, 32, 31, 30, 26, 25, 24, 23, 21, 20, 17, 16, 14, 13, 10, 9, 1, 0]]","[1, 2, 3]"
31,"(0.25, 42)","[[49, 48, 47, 40, 33, 30, 27, 20, 19, 14, 12, 9, 8, 7], [55, 54, 52, 51, 47, 43, 35, 34, 21, 17, 16, 15, 10, 6], [51, 50, 48, 47, 44, 33, 32, 30, 25, 17, 14, 13, 1, 0]]","[1, 2, 3]"
31,"(0.125, 21)","[[49, 48, 47, 40, 33, 12, 7], [55, 54, 51, 35, 21, 16, 15], [51, 50, 47, 25, 13, 1, 0]]","[1, 2, 3]"
32,"(0.5, 84)","[[52, 50, 49, 47, 45, 42, 41, 38, 37, 33, 32, 31, 29, 27, 26, 23, 22, 21, 20, 18, 17, 15, 14, 8, 7, 4, 3, 1], [55, 49, 48, 47, 46, 44, 43, 41, 34, 32, 31, 30, 28, 27, 26, 24, 22, 20, 19, 18, 15, 13, 12, 11, 9, 7, 6, 2], [56, 55, 54, 53, 51, 49, 48, 47, 43, 42, 41, 39, 38, 37, 36, 35, 34, 33, 31, 29, 21, 15, 14, 13, 9, 8, 6, 5]]","[3, 1, 2]"
32,"(0.25, 42)","[[52, 47, 45, 41, 37, 32, 31, 29, 27, 26, 22, 14, 7, 1], [55, 48, 47, 46, 34, 30, 28, 24, 19, 18, 15, 13, 6, 2], [55, 54, 53, 51, 47, 43, 39, 36, 34, 21, 15, 14, 13, 9]]","[3, 1, 2]"
32,"(0.125, 21)","[[52, 47, 45, 29, 27, 7, 1], [48, 47, 46, 34, 30, 28, 2], [55, 54, 51, 43, 36, 14, 13]]","[3, 1, 2]"
33,"(0.5, 84)","[[51, 48, 47, 46, 44, 41, 40, 39, 35, 31, 30, 29, 28, 27, 25, 24, 23, 22, 20, 19, 16, 15, 13, 12, 7, 5, 1], [54, 53, 51, 50, 48, 46, 45, 41, 39, 37, 34, 33, 32, 31, 30, 29, 20, 17, 16, 15, 14, 13, 12, 11, 6, 5, 4, 2], [58, 52, 51, 50, 49, 48, 47, 46, 45, 43, 37, 35, 34, 32, 31, 30, 27, 21, 20, 19, 18, 15, 13, 12, 9, 7, 6, 5, 2]]","[3, 2, 1]"
33,"(0.25, 42)","[[51, 48, 46, 44, 39, 31, 29, 28, 27, 15, 13, 12, 7, 1], [53, 51, 50, 48, 41, 39, 37, 33, 31, 20, 17, 13, 12, 5], [51, 50, 49, 43, 34, 32, 27, 20, 19, 15, 13, 7, 5, 2]]","[3, 2, 1]"
33,"(0.125, 21)","[[51, 48, 46, 44, 28, 12, 7], [53, 50, 48, 41, 17, 13, 12], [51, 50, 49, 32, 15, 13, 2]]","[3, 2, 1]"
34,"(0.5, 84)","[[54, 53, 49, 48, 46, 45, 44, 43, 42, 41, 35, 33, 32, 30, 29, 28, 24, 21, 19, 18, 17, 14, 12, 11, 10, 8, 7, 2], [55, 54, 52, 50, 48, 45, 43, 42, 41, 39, 37, 36, 35, 34, 31, 23, 21, 20, 17, 16, 15, 12, 11, 10, 8, 7, 6, 3], [54, 50, 49, 48, 46, 44, 42, 41, 40, 39, 38, 37, 31, 30, 28, 27, 25, 24, 23, 21, 18, 17, 16, 14, 9, 6, 2, 1]]","[1, 2, 3]"
34,"(0.25, 42)","[[54, 48, 45, 41, 35, 32, 30, 18, 17, 12, 10, 8, 7, 2], [54, 50, 48, 45, 43, 41, 34, 23, 21, 20, 17, 16, 12, 7], [54, 50, 48, 44, 38, 31, 30, 28, 25, 18, 16, 9, 2, 1]]","[1, 2, 3]"
34,"(0.125, 21)","[[48, 45, 35, 30, 17, 7, 2], [54, 50, 48, 45, 21, 17, 12], [54, 50, 48, 44, 28, 16, 1]]","[1, 2, 3]"
35,"(0.5, 84)","[[45, 44, 43, 42, 41, 39, 33, 31, 30, 29, 27, 26, 25, 22, 20, 18, 17, 16, 15, 14, 11, 10, 9, 8, 6, 3], [56, 55, 54, 52, 51, 49, 47, 46, 45, 42, 40, 39, 38, 36, 32, 31, 30, 24, 21, 20, 16, 15, 14, 13, 10, 7, 6, 5, 2], [57, 53, 51, 49, 47, 44, 43, 40, 39, 38, 35, 34, 31, 30, 29, 27, 24, 23, 22, 21, 19, 18, 16, 15, 13, 12, 9, 1, 0]]","[1, 2, 3]"
35,"(0.25, 42)","[[44, 43, 39, 33, 29, 27, 26, 22, 16, 15, 9, 6, 3], [55, 54, 51, 49, 45, 42, 40, 21, 16, 15, 14, 10, 6, 5], [57, 53, 51, 47, 43, 39, 31, 29, 27, 24, 15, 13, 12, 1, 0]]","[1, 2, 3]"
35,"(0.125, 21)","[[44, 43, 33, 27, 15, 3], [55, 54, 51, 49, 42, 21, 15], [57, 53, 51, 47, 29, 27, 24, 12]]","[1, 2, 3]"
36,"(0.5, 84)","[[50, 49, 48, 47, 42, 39, 38, 37, 36, 34, 31, 30, 29, 28, 27, 24, 18, 16, 15, 12, 11, 10, 7, 6, 4, 2], [57, 52, 51, 50, 48, 47, 46, 45, 43, 42, 36, 34, 33, 32, 31, 30, 27, 25, 21, 20, 19, 16, 14, 13, 10, 8, 7, 6, 2], [56, 54, 52, 51, 49, 47, 46, 45, 42, 41, 37, 33, 32, 31, 30, 28, 27, 24, 23, 22, 21, 20, 19, 16, 15, 10, 8, 2, 1]]","[2, 1, 3]"
36,"(0.25, 42)","[[50, 49, 47, 42, 39, 36, 29, 18, 16, 12, 11, 7, 4], [52, 51, 50, 47, 42, 32, 31, 27, 20, 19, 16, 14, 8, 6, 2], [56, 52, 51, 49, 45, 33, 32, 30, 28, 16, 15, 8, 2, 1]]","[2, 1, 3]"
36,"(0.125, 21)","[[50, 49, 39, 29, 18, 16, 12], [52, 51, 50, 32, 31, 27, 2], [56, 52, 51, 49, 28, 8, 1]]","[2, 1, 3]"
37,"(0.5, 84)","[[54, 53, 48, 47, 46, 44, 43, 42, 41, 35, 34, 33, 32, 31, 29, 28, 27, 25, 19, 18, 15, 14, 12, 10, 8, 7, 4, 3], [53, 52, 50, 49, 47, 44, 43, 42, 40, 39, 33, 32, 31, 30, 27, 26, 25, 24, 22, 19, 18, 16, 15, 10, 8, 6, 2, 1], [57, 56, 54, 52, 50, 49, 44, 43, 42, 39, 38, 37, 36, 35, 34, 33, 30, 23, 22, 19, 16, 15, 14, 11, 9, 7, 6, 3]]","[1, 3, 2]"
37,"(0.25, 42)","[[48, 47, 46, 42, 41, 34, 31, 29, 19, 18, 14, 12, 7, 3], [53, 50, 47, 42, 33, 32, 31, 26, 19, 16, 15, 8, 2, 1], [56, 54, 52, 49, 44, 39, 37, 36, 35, 22, 19, 15, 14, 11]]","[1, 3, 2]"
37,"(0.125, 21)","[[47, 46, 34, 31, 29, 18, 3], [53, 50, 31, 15, 8, 2, 1], [56, 52, 49, 37, 19, 15, 14]]","[1, 3, 2]"
38,"(0.5, 84)","[[46, 44, 42, 40, 39, 38, 36, 35, 32, 30, 29, 27, 25, 23, 22, 21, 20, 18, 16, 15, 13, 12, 10, 7, 5, 0], [55, 53, 52, 50, 48, 47, 43, 41, 39, 38, 37, 36, 35, 34, 33, 31, 30, 21, 19, 16, 15, 14, 13, 9, 6, 5, 4, 2], [59, 53, 52, 51, 50, 48, 47, 46, 45, 43, 42, 35, 33, 32, 31, 29, 27, 26, 21, 20, 19, 16, 14, 13, 10, 9, 8, 7, 3, 2]]","[3, 2, 1]"
38,"(0.25, 42)","[[46, 44, 42, 38, 35, 32, 30, 29, 23, 15, 13, 12, 5], [55, 53, 52, 50, 47, 43, 36, 21, 19, 16, 15, 14, 9, 5], [52, 51, 50, 47, 42, 35, 31, 27, 20, 16, 14, 9, 8, 7, 2]]","[3, 2, 1]"
38,"(0.125, 21)","[[46, 42, 35, 30, 29, 12, 5], [55, 52, 50, 43, 36, 15, 14], [52, 51, 50, 42, 35, 7, 2]]","[3, 2, 1]"
39,"(0.5, 84)","[[52, 49, 48, 47, 45, 44, 42, 41, 40, 37, 35, 32, 31, 30, 28, 27, 24, 23, 22, 20, 19, 16, 14, 10, 8, 7, 2, 1], [55, 54, 49, 48, 47, 46, 44, 43, 42, 40, 34, 33, 31, 30, 27, 25, 21, 20, 19, 15, 14, 13, 12, 10, 8, 7, 6, 2], [56, 55, 54, 52, 51, 49, 46, 44, 43, 42, 39, 38, 37, 36, 35, 34, 32, 23, 20, 19, 16, 15, 14, 11, 10, 9, 6, 5]]","[3, 1, 2]"
39,"(0.25, 42)","[[52, 49, 47, 45, 44, 40, 37, 32, 30, 28, 14, 7, 2, 1], [48, 47, 46, 43, 34, 31, 27, 21, 20, 15, 14, 13, 8, 6], [55, 54, 52, 51, 46, 44, 39, 38, 37, 23, 20, 16, 15, 6]]","[3, 1, 2]"
39,"(0.125, 21)","[[52, 47, 44, 28, 14, 7, 1], [48, 47, 46, 34, 31, 14, 8], [55, 51, 46, 20, 16, 15, 6]]","[3, 1, 2]"
40,"(0.5, 84)","[[52, 48, 47, 45, 42, 41, 39, 38, 37, 33, 32, 29, 28, 27, 26, 24, 21, 20, 19, 17, 15, 14, 11, 10, 8, 7, 2, 1], [55, 54, 49, 48, 46, 45, 44, 43, 41, 40, 34, 33, 31, 30, 29, 27, 26, 25, 24, 22, 20, 19, 18, 14, 12, 11, 8, 7], [55, 54, 52, 51, 49, 47, 42, 41, 40, 36, 35, 34, 33, 32, 30, 28, 23, 22, 19, 18, 14, 13, 12, 11, 9, 6, 5, 2]]","[3, 1, 2]"
40,"(0.25, 42)","[[52, 47, 45, 37, 29, 28, 26, 24, 20, 17, 15, 14, 2, 1], [55, 49, 48, 45, 40, 33, 29, 27, 26, 18, 14, 12, 11, 8], [55, 54, 51, 49, 47, 42, 35, 22, 19, 14, 13, 12, 9, 5]]","[3, 1, 2]"
40,"(0.125, 21)","[[52, 47, 45, 28, 24, 20, 14], [48, 45, 40, 33, 27, 18, 12], [55, 49, 35, 22, 19, 13, 12]]","[3, 1, 2]"
41,"(0.5, 84)","[[50, 47, 46, 45, 43, 41, 39, 38, 37, 35, 34, 32, 31, 29, 25, 24, 23, 22, 21, 20, 17, 16, 14, 13, 11, 8, 1], [53, 52, 48, 47, 46, 44, 43, 42, 40, 33, 32, 31, 29, 28, 25, 23, 19, 18, 17, 14, 12, 11, 8, 6, 5, 4, 1], [60, 59, 58, 56, 55, 54, 53, 52, 48, 46, 45, 43, 40, 39, 38, 37, 33, 24, 21, 20, 16, 15, 14, 11, 10, 9, 7, 6, 3, 1]]","[3, 1, 2]"
41,"(0.25, 42)","[[50, 47, 45, 43, 41, 38, 32, 29, 25, 14, 13, 8, 1], [53, 47, 46, 40, 31, 25, 19, 18, 14, 12, 6, 5, 4, 1], [59, 58, 56, 55, 52, 48, 45, 39, 24, 21, 16, 15, 14, 11, 7]]","[3, 1, 2]"
41,"(0.125, 21)","[[50, 47, 45, 41, 32, 13, 8], [47, 46, 25, 18, 12, 4, 1], [59, 58, 55, 48, 21, 15, 14]]","[3, 1, 2]"
42,"(0.5, 84)","[[50, 49, 47, 45, 44, 43, 39, 38, 37, 36, 34, 32, 31, 30, 29, 28, 27, 24, 17, 16, 14, 13, 12, 11, 5, 4], [54, 52, 50, 49, 48, 46, 43, 42, 39, 38, 31, 30, 29, 27, 26, 24, 23, 22, 21, 19, 16, 15, 13, 9, 7, 4, 1, 0], [59, 53, 52, 51, 50, 48, 47, 46, 45, 44, 38, 37, 36, 35, 34, 32, 31, 30, 27, 22, 21, 20, 19, 16, 14, 13, 10, 9, 8, 3]]","[2, 3, 1]"
42,"(0.25, 42)","[[50, 49, 47, 43, 39, 38, 36, 34, 29, 17, 14, 13, 12], [54, 50, 49, 48, 46, 42, 38, 31, 29, 27, 26, 13, 7, 1], [52, 51, 50, 44, 37, 34, 32, 27, 21, 20, 16, 14, 9, 8, 3]]","[2, 3, 1]"
42,"(0.125, 21)","[[50, 47, 39, 29, 14, 13, 12], [54, 50, 49, 46, 13, 7, 1], [52, 51, 50, 37, 32, 14, 3]]","[2, 3, 1]"
43,"(0.5, 84)","[[52, 47, 46, 45, 44, 43, 41, 34, 32, 31, 30, 28, 27, 26, 24, 23, 18, 17, 16, 15, 12, 11, 8, 6, 5, 3, 2], [55, 54, 52, 51, 49, 47, 43, 41, 38, 37, 36, 35, 34, 33, 32, 30, 22, 20, 19, 18, 16, 15, 14, 10, 9, 6, 5, 4, 1], [56, 53, 52, 51, 49, 46, 45, 44, 41, 37, 35, 34, 32, 31, 30, 26, 25, 24, 23, 21, 20, 17, 16, 14, 13, 7, 1, 0]]","[1, 2, 3]"
43,"(0.25, 42)","[[47, 46, 45, 34, 30, 28, 24, 17, 16, 12, 11, 5, 2], [55, 54, 51, 49, 43, 41, 37, 35, 22, 20, 16, 15, 10, 5], [56, 53, 51, 49, 44, 41, 35, 34, 32, 31, 14, 13, 7, 1, 0]]","[1, 2, 3]"
43,"(0.125, 21)","[[47, 46, 45, 30, 28, 11, 2], [55, 54, 49, 43, 41, 20, 15], [56, 53, 51, 31, 13, 1, 0]]","[1, 2, 3]"
44,"(0.5, 84)","[[52, 50, 48, 46, 44, 42, 40, 39, 38, 36, 34, 32, 31, 30, 29, 23, 20, 19, 16, 15, 14, 10, 9, 7, 6, 5, 3], [56, 50, 49, 48, 47, 45, 44, 43, 42, 40, 39, 35, 34, 33, 32, 31, 28, 26, 21, 20, 17, 16, 14, 12, 10, 9, 8, 4, 3], [53, 52, 50, 48, 46, 45, 44, 43, 40, 39, 36, 32, 31, 30, 28, 27, 25, 24, 23, 21, 20, 18, 16, 15, 7, 5, 2, 1]]","[2, 1, 3]"
44,"(0.25, 42)","[[52, 50, 48, 44, 42, 40, 38, 32, 20, 15, 10, 6, 5], [49, 48, 47, 44, 39, 35, 31, 28, 21, 20, 16, 10, 8, 3], [53, 50, 48, 43, 39, 32, 30, 28, 25, 18, 16, 15, 7, 2, 1]]","[2, 1, 3]"
44,"(0.125, 21)","[[52, 48, 42, 38, 20, 10, 6], [49, 48, 47, 39, 35, 31, 3], [53, 50, 48, 28, 15, 7, 1]]","[2, 1, 3]"
45,"(0.5, 84)","[[46, 44, 42, 41, 40, 38, 37, 36, 30, 29, 27, 25, 23, 22, 21, 20, 19, 18, 17, 16, 15, 11, 10, 9, 6, 2, 1], [54, 53, 51, 50, 48, 47, 43, 39, 38, 37, 36, 35, 34, 33, 24, 21, 20, 19, 17, 16, 15, 14, 13, 11, 7, 6, 5, 2], [58, 52, 51, 50, 49, 48, 47, 46, 44, 43, 37, 35, 34, 33, 31, 29, 28, 23, 22, 21, 17, 15, 14, 13, 11, 9, 8, 7, 3]]","[3, 2, 1]"
45,"(0.25, 42)","[[46, 44, 40, 36, 30, 29, 27, 25, 22, 15, 9, 2, 1], [54, 53, 50, 48, 43, 38, 37, 36, 24, 21, 16, 15, 14, 6], [51, 50, 48, 43, 37, 33, 31, 29, 22, 17, 15, 11, 9, 7, 3]]","[3, 2, 1]"
45,"(0.125, 21)","[[46, 36, 27, 15, 9, 2, 1], [54, 53, 48, 43, 21, 15, 14], [51, 50, 37, 31, 22, 15, 3]]","[3, 2, 1]"
46,"(0.5, 84)","[[52, 51, 50, 48, 47, 46, 42, 40, 39, 38, 36, 32, 31, 30, 29, 28, 27, 20, 18, 17, 14, 13, 12, 6, 5, 4, 1], [55, 52, 51, 50, 48, 46, 43, 42, 39, 38, 37, 35, 34, 32, 30, 29, 26, 25, 24, 23, 21, 18, 17, 15, 10, 9, 8, 5, 1], [57, 56, 51, 50, 49, 48, 46, 45, 43, 42, 35, 34, 33, 32, 31, 30, 29, 25, 23, 20, 19, 14, 12, 11, 8, 6, 5, 4]]","[2, 3, 1]"
46,"(0.25, 42)","[[52, 51, 50, 46, 42, 40, 38, 32, 30, 18, 14, 13, 5], [55, 52, 50, 48, 46, 38, 35, 34, 32, 30, 29, 15, 8, 1], [57, 50, 49, 48, 42, 34, 31, 30, 25, 20, 19, 14, 12, 6, 4]]","[2, 3, 1]"
46,"(0.125, 21)","[[52, 51, 50, 42, 18, 14, 5], [55, 52, 50, 46, 30, 15, 8], [50, 49, 48, 34, 30, 25, 12]]","[2, 3, 1]"
47,"(0.5, 84)","[[52, 51, 50, 47, 46, 45, 43, 42, 41, 39, 33, 32, 31, 30, 28, 27, 24, 18, 17, 16, 14, 13, 11, 8, 7, 6, 2], [52, 50, 49, 48, 46, 45, 43, 42, 41, 40, 38, 37, 34, 30, 29, 25, 24, 23, 21, 20, 17, 16, 14, 13, 10, 8, 6, 1], [58, 56, 55, 53, 51, 50, 47, 45, 44, 43, 41, 38, 37, 36, 35, 34, 33, 32, 30, 24, 23, 20, 19, 15, 14, 13, 12, 8, 5]]","[1, 3, 2]"
47,"(0.25, 42)","[[52, 46, 45, 39, 32, 28, 24, 17, 13, 11, 8, 6, 2], [52, 49, 46, 45, 41, 40, 38, 30, 29, 25, 16, 13, 6, 1], [58, 56, 55, 53, 50, 45, 38, 37, 23, 20, 19, 15, 14, 13, 8]]","[1, 3, 2]"
47,"(0.125, 21)","[[46, 45, 32, 28, 13, 11, 2], [52, 49, 46, 45, 30, 13, 1], [58, 53, 45, 37, 20, 14, 13]]","[1, 3, 2]"
48,"(0.5, 84)","[[50, 48, 47, 44, 42, 41, 39, 38, 37, 35, 33, 32, 31, 30, 29, 25, 20, 18, 17, 16, 14, 13, 9, 6, 5, 3], [53, 52, 51, 50, 48, 47, 46, 45, 44, 43, 37, 36, 34, 32, 30, 29, 25, 22, 21, 20, 19, 16, 14, 13, 10, 9, 8, 4, 3], [55, 52, 51, 50, 47, 45, 44, 43, 41, 40, 39, 35, 31, 30, 29, 28, 26, 25, 23, 22, 20, 19, 15, 14, 11, 7, 6, 2, 1]]","[2, 1, 3]"
48,"(0.25, 42)","[[50, 47, 42, 41, 39, 35, 32, 31, 20, 18, 14, 13, 6], [52, 51, 50, 47, 43, 36, 32, 22, 21, 20, 16, 14, 10, 8, 3], [55, 52, 50, 47, 43, 39, 31, 30, 26, 23, 14, 7, 2, 1]]","[2, 1, 3]"
48,"(0.125, 21)","[[50, 47, 41, 31, 20, 18, 14], [52, 51, 50, 43, 36, 8, 3], [55, 52, 50, 47, 26, 14, 1]]","[2, 1, 3]"
49,"(0.5, 84)","[[51, 50, 44, 43, 41, 40, 39, 37, 33, 31, 30, 28, 27, 26, 23, 21, 16, 15, 14, 11, 9, 7, 3, 2, 1, 0], [55, 51, 50, 49, 47, 45, 44, 43, 41, 37, 33, 32, 31, 30, 28, 25, 24, 23, 22, 21, 19, 18, 15, 14, 12, 11, 6, 1, 0], [57, 56, 54, 53, 51, 49, 48, 47, 43, 42, 41, 39, 37, 36, 35, 34, 33, 30, 21, 16, 15, 14, 11, 10, 9, 7, 6, 5, 3]]","[1, 3, 2]"
49,"(0.25, 42)","[[44, 43, 41, 37, 30, 28, 27, 23, 15, 14, 11, 7, 2], [55, 51, 50, 47, 43, 33, 32, 30, 28, 24, 12, 11, 1, 0], [57, 56, 54, 53, 51, 47, 43, 42, 33, 21, 16, 15, 11, 7, 6]]","[1, 3, 2]"
49,"(0.125, 21)","[[44, 43, 41, 28, 23, 11, 2], [55, 51, 50, 47, 28, 24, 11], [57, 56, 51, 47, 43, 21, 15]]","[1, 3, 2]"
