split seed,p,selection,labels
35,"(0.25, 30)","[[34, 31, 23, 20, 14, 11, 8, 2, 0], [37, 34, 31, 26, 19, 18, 17, 14, 11, 10, 9], [34, 31, 28, 25, 15, 14, 10, 8, 6, 5]]","[1, 0, 2]"
35,"(0.125, 15)","[[34, 31, 23, 20, 0], [34, 17, 11, 10, 9], [25, 14, 10, 6, 5]]","[1, 0, 2]"
36,"(0.5, 60)","[[34, 33, 32, 31, 28, 25, 23, 22, 19, 18, 16, 15, 13, 12, 11, 10, 4, 2, 1], [33, 29, 28, 26, 25, 21, 18, 17, 16, 14, 13, 10, 7, 6, 5, 4, 3, 1, 1, 0], [41, 35, 32, 31, 29, 27, 25, 24, 23, 22, 20, 18, 14, 13, 12, 9, 6, 5, 2, 1, 0]]","[0, 2, 1]"
36,"(0.25, 30)","[[33, 31, 23, 19, 18, 15, 12, 11, 10], [33, 28, 25, 21, 17, 14, 13, 7, 4, 3], [41, 35, 32, 25, 24, 14, 13, 9, 6, 2, 0]]","[0, 2, 1]"
36,"(0.125, 15)","[[31, 23, 12, 11, 10], [25, 17, 13, 4, 3], [41, 25, 9, 6, 0]]","[0, 2, 1]"
37,"(0.5, 60)","[[30, 28, 25, 24, 23, 21, 19, 18, 17, 15, 14, 12, 11, 10, 8, 7, 4, 3, 2], [32, 29, 27, 24, 22, 21, 19, 18, 16, 14, 12, 11, 9, 6, 5, 3, 2, 1, 0], [40, 39, 38, 37, 34, 32, 30, 29, 28, 27, 23, 22, 21, 20, 19, 16, 14, 13, 12, 9, 7, 2]]","[2, 1, 0]"
37,"(0.25, 30)","[[28, 25, 21, 14, 12, 11, 10, 7, 4], [32, 24, 21, 16, 14, 12, 11, 9, 6, 0], [40, 37, 30, 29, 21, 20, 19, 16, 14, 13, 12]]","[2, 1, 0]"
37,"(0.125, 15)","[[21, 14, 11, 10, 7], [32, 24, 16, 9, 6], [37, 19, 14, 13, 12]]","[2, 1, 0]"
38,"(0.5, 60)","[[34, 31, 30, 29, 28, 26, 25, 24, 23, 22, 18, 17, 16, 15, 13, 10, 7, 4, 2], [38, 34, 30, 29, 28, 26, 23, 22, 21, 19, 17, 15, 13, 12, 8, 6, 5, 2, 1, 0], [36, 33, 31, 30, 28, 24, 21, 20, 18, 17, 16, 13, 12, 10, 9, 8, 7, 6, 5, 1, 1]]","[0, 1, 2]"
38,"(0.25, 30)","[[31, 29, 28, 24, 23, 16, 15, 7, 4], [38, 34, 28, 19, 15, 13, 12, 8, 5, 1], [36, 33, 28, 21, 18, 17, 16, 12, 10, 6, 5]]","[0, 1, 2]"
38,"(0.125, 15)","[[31, 28, 24, 15, 4], [38, 28, 19, 8, 5], [28, 21, 17, 16, 6]]","[0, 1, 2]"
39,"(0.5, 60)","[[31, 29, 26, 23, 22, 21, 18, 17, 16, 15, 13, 10, 9, 8, 7, 6, 5, 1, 1], [35, 34, 32, 28, 27, 25, 24, 22, 21, 20, 19, 17, 15, 14, 13, 12, 11, 6, 3, 1], [42, 37, 34, 31, 30, 28, 25, 23, 22, 21, 20, 19, 15, 12, 8, 6, 5, 4, 2, 1, 0]]","[2, 0, 1]"
39,"(0.25, 30)","[[31, 18, 16, 15, 13, 10, 9, 6, 5], [32, 28, 20, 19, 15, 13, 12, 11, 6, 3], [42, 37, 28, 25, 19, 15, 12, 8, 5, 1, 0]]","[2, 0, 1]"
39,"(0.125, 15)","[[18, 16, 15, 13, 6], [28, 19, 13, 12, 11], [42, 28, 19, 8, 0]]","[2, 0, 1]"
40,"(0.5, 60)","[[35, 33, 32, 31, 30, 28, 24, 23, 22, 21, 20, 17, 16, 14, 11, 10, 9, 3, 2], [32, 31, 30, 29, 27, 22, 21, 20, 17, 16, 15, 14, 11, 10, 7, 6, 5, 4, 3, 0], [40, 36, 34, 30, 29, 27, 26, 24, 22, 21, 20, 17, 15, 13, 12, 8, 6, 5, 2, 1, 0]]","[0, 2, 1]"
40,"(0.25, 30)","[[32, 28, 24, 23, 17, 16, 14, 10, 9, 3], [31, 29, 27, 17, 15, 14, 10, 7, 4, 3], [40, 36, 27, 24, 17, 15, 13, 8, 6, 0]]","[0, 2, 1]"
40,"(0.125, 15)","[[32, 24, 16, 10, 9], [17, 15, 14, 10, 4], [40, 27, 8, 6, 0]]","[0, 2, 1]"
41,"(0.5, 60)","[[36, 28, 26, 25, 23, 22, 21, 19, 17, 15, 12, 9, 8, 7, 6, 3, 2, 1, 0], [30, 29, 26, 25, 23, 22, 20, 18, 17, 15, 14, 13, 12, 9, 8, 7, 6, 5, 4], [42, 39, 38, 37, 36, 33, 30, 28, 24, 23, 22, 21, 20, 18, 16, 14, 13, 12, 11, 7, 4, 2]]","[1, 2, 0]"
41,"(0.25, 30)","[[36, 23, 22, 19, 15, 12, 7, 3, 2, 0], [29, 23, 20, 18, 14, 12, 9, 7, 5, 4], [39, 36, 28, 22, 21, 20, 16, 13, 12, 11]]","[1, 2, 0]"
41,"(0.125, 15)","[[36, 19, 15, 7, 0], [23, 18, 14, 5, 4], [36, 20, 13, 12, 11]]","[1, 2, 0]"
42,"(0.5, 60)","[[33, 30, 27, 24, 22, 21, 20, 19, 18, 16, 13, 10, 9, 7, 6, 4, 2, 1, 0], [37, 36, 35, 32, 30, 27, 26, 22, 21, 20, 19, 17, 16, 14, 13, 12, 11, 8, 7, 4, 1], [35, 32, 29, 28, 26, 25, 22, 21, 17, 16, 15, 12, 11, 8, 7, 6, 5, 1, 1, 0]]","[1, 0, 2]"
42,"(0.25, 30)","[[33, 24, 21, 16, 13, 10, 9, 7, 4, 0], [37, 35, 27, 21, 20, 19, 16, 13, 12, 11], [35, 32, 26, 22, 17, 16, 15, 11, 7, 5]]","[1, 0, 2]"
42,"(0.125, 15)","[[24, 16, 13, 7, 4], [35, 19, 13, 12, 11], [32, 26, 16, 15, 5]]","[1, 0, 2]"
43,"(0.5, 60)","[[31, 30, 29, 28, 26, 24, 23, 22, 21, 17, 16, 15, 14, 12, 10, 9, 8, 5, 1], [33, 31, 29, 28, 26, 23, 22, 21, 19, 18, 17, 15, 14, 10, 9, 8, 7, 6, 5, 1, 1], [40, 35, 32, 29, 28, 27, 25, 23, 21, 19, 18, 17, 15, 13, 10, 6, 4, 2, 1, 0]]","[0, 2, 1]"
43,"(0.25, 30)","[[31, 28, 24, 16, 15, 14, 12, 9, 8], [33, 26, 23, 18, 15, 14, 10, 9, 6, 5], [40, 35, 28, 25, 21, 19, 13, 10, 6, 1, 0]]","[0, 2, 1]"
43,"(0.125, 15)","[[28, 24, 14, 9, 8], [26, 18, 14, 6, 5], [40, 35, 25, 6, 0]]","[0, 2, 1]"
44,"(0.5, 60)","[[36, 35, 32, 30, 28, 27, 26, 25, 21, 20, 19, 17, 15, 14, 13, 8, 6, 5, 3, 2], [39, 36, 33, 31, 30, 28, 25, 23, 22, 21, 19, 14, 13, 9, 7, 6, 5, 2, 1, 0], [33, 31, 28, 27, 26, 24, 20, 17, 16, 15, 13, 12, 11, 8, 7, 5, 4, 3, 1, 0]]","[0, 1, 2]"
44,"(0.25, 30)","[[36, 35, 28, 20, 19, 17, 15, 14, 13, 5], [39, 36, 28, 25, 19, 14, 13, 9, 6, 1], [33, 31, 24, 16, 13, 12, 11, 7, 5, 3]]","[0, 1, 2]"
44,"(0.125, 15)","[[35, 19, 15, 14, 13], [39, 28, 19, 9, 6], [24, 16, 12, 11, 3]]","[0, 1, 2]"
45,"(0.5, 60)","[[28, 26, 23, 22, 18, 17, 15, 14, 13, 12, 11, 9, 8, 7, 6, 5, 4, 1], [39, 37, 36, 35, 34, 32, 28, 27, 25, 22, 21, 20, 18, 16, 14, 13, 12, 11, 6, 4, 2], [41, 36, 34, 31, 30, 29, 27, 25, 23, 21, 20, 19, 16, 14, 11, 7, 5, 4, 2, 1, 0]]","[2, 0, 1]"
45,"(0.25, 30)","[[28, 26, 18, 14, 13, 11, 9, 5, 4], [36, 34, 32, 28, 22, 21, 20, 16, 13, 12, 11], [41, 36, 27, 23, 14, 11, 7, 4, 1, 0]]","[2, 0, 1]"
45,"(0.125, 15)","[[26, 18, 14, 13, 5], [34, 20, 13, 12, 11], [41, 27, 14, 7, 0]]","[2, 0, 1]"
46,"(0.5, 60)","[[34, 33, 32, 31, 26, 25, 24, 21, 20, 19, 18, 17, 15, 13, 11, 10, 9, 8, 5, 2], [38, 33, 30, 28, 27, 24, 22, 19, 17, 15, 13, 12, 9, 7, 6, 5, 3, 2, 1, 0], [33, 29, 28, 25, 21, 19, 18, 17, 16, 15, 12, 11, 8, 7, 6, 5, 4, 3, 0, 0]]","[0, 1, 2]"
46,"(0.25, 30)","[[31, 19, 18, 17, 15, 13, 10, 9, 8, 5], [38, 33, 24, 17, 15, 13, 12, 9, 6, 0], [33, 25, 21, 17, 16, 15, 11, 8, 4, 3]]","[0, 1, 2]"
46,"(0.125, 15)","[[31, 17, 10, 9, 8], [38, 24, 17, 9, 0], [25, 16, 15, 4, 3]]","[0, 1, 2]"
47,"(0.5, 60)","[[36, 32, 28, 27, 26, 24, 23, 22, 21, 20, 17, 13, 12, 9, 7, 3, 2, 1, 0], [38, 37, 36, 35, 33, 31, 30, 28, 26, 22, 21, 20, 19, 17, 15, 13, 12, 11, 6, 3, 1], [34, 32, 31, 29, 28, 25, 23, 22, 21, 18, 16, 15, 12, 11, 8, 7, 6, 5, 1, 1]]","[1, 0, 2]"
47,"(0.25, 30)","[[36, 32, 26, 23, 17, 13, 12, 7, 3, 0], [38, 35, 28, 21, 20, 19, 15, 13, 12, 11], [34, 31, 29, 18, 16, 15, 11, 8, 7, 5]]","[1, 0, 2]"
47,"(0.125, 15)","[[36, 26, 17, 7, 0], [35, 28, 19, 12, 11], [18, 16, 15, 11, 5]]","[1, 0, 2]"
48,"(0.5, 60)","[[31, 30, 27, 24, 23, 21, 20, 19, 17, 16, 13, 12, 10, 6, 5, 4, 3, 2, 0], [35, 34, 33, 32, 29, 27, 25, 24, 23, 22, 20, 19, 18, 16, 14, 13, 12, 8, 5, 3, 2], [36, 34, 30, 28, 27, 26, 24, 23, 22, 21, 19, 15, 12, 8, 7, 6, 5, 2, 1, 0]]","[2, 0, 1]"
48,"(0.25, 30)","[[31, 30, 27, 23, 20, 13, 10, 6, 4, 3], [35, 32, 25, 24, 18, 16, 14, 13, 12, 5], [36, 28, 26, 19, 15, 12, 8, 6, 2, 0]]","[2, 0, 1]"
48,"(0.125, 15)","[[20, 13, 10, 4, 3], [32, 18, 14, 13, 12], [36, 28, 8, 6, 0]]","[2, 0, 1]"
49,"(0.5, 60)","[[35, 33, 32, 29, 26, 24, 23, 22, 21, 16, 15, 14, 13, 11, 10, 9, 4, 2, 1], [37, 32, 31, 29, 28, 25, 24, 23, 21, 20, 17, 15, 13, 10, 9, 6, 5, 4, 1, 0], [37, 34, 31, 30, 29, 27, 23, 20, 19, 17, 16, 15, 12, 11, 8, 7, 6, 5, 1, 1, 0]]","[0, 1, 2]"
49,"(0.25, 30)","[[33, 32, 29, 24, 23, 15, 14, 10, 4], [37, 29, 23, 21, 17, 13, 10, 9, 6, 1], [37, 34, 27, 23, 20, 17, 16, 15, 11, 8, 5]]","[0, 1, 2]"
49,"(0.125, 15)","[[33, 32, 29, 24, 10], [37, 17, 13, 10, 6], [27, 20, 16, 15, 5]]","[0, 1, 2]"
